name,genre,website,license,comment,wikilink,operatingSystem,programmingLanguage
LaNet-vi,Visualization,http://lanet-vi.fi.uba.ar/,"Academic Free License , Creative Commons Licence",LaNet-vi is an open-source network visualization software. It is an acronym that stands for Large Networks visualization Tool.LaNet-vi is based on the k-core decomposition of a network. This decomposition was introduced by Seidman in 1983 and divides the network in layers (the cores) thus providing a centrality measure for nodes. One of its main applications is the study of the Internet topology.,http://en.wikipedia.org/wiki/LaNet-vi,"Linux, Microsoft Windows",C++
LaNet-vi,Visualization,http://lanet-vi.fi.uba.ar/,"Academic Free License , Creative Commons Licence",LaNet-vi is an open-source network visualization software. It is an acronym that stands for Large Networks visualization Tool.LaNet-vi is based on the k-core decomposition of a network. This decomposition was introduced by Seidman in 1983 and divides the network in layers (the cores) thus providing a centrality measure for nodes. One of its main applications is the study of the Internet topology.,http://en.wikipedia.org/wiki/LaNet-vi,"Linux, Microsoft Windows",C++
GRASS GIS,Geographic_information_system,http://grass.osgeo.org/,GNU_General_Public_License,GRASS GIS (Geographic Resources Analysis Support System，地理资源分析支持系统) 是一个免费、开放源代码的地理信息系统（GIS），可用于处理栅格、拓扑矢量、影像和图表数据。GRASS 在GPL下发布，可以在多个平台上运行，包括Mac OS X、Windows和Linux。用户可以通过图形用户界面（内置的基于 X Window系统的 GUI 或通过 Quantum GIS）使用该软件的功能；也可以通过改进的 shell 直接使用它的模块。当前的 GRASS 6 版本采用新的拓扑 2D/3D 矢量引擎并支持矢量网络分析。属性数据通过 .dbf 文件或基于 SQL 的数据库管理系统（如 MySQL、PostgreSQL/PostGIS 和 SQLite）来管理。该系统可以胜任3D矢量图形数据和立体像素的可视化。通过与 GDAL/OGR库的绑定，GRASS 支持多种栅格和矢量格式。其中包括 OGC-conformal简单要素，以实现与其他 GIS 软件的互操作。它也支持线性参考系统。GRASS 开发团队是一个由来自很多地区的开发者组成的跨国群体。GRASS 是开源地理空间基金会最初的八个软件项目之一。目前，GRASS 在中国的相关信息维护由OSGeo中国中心负责，具体包括新闻发布，镜像网站的维护，中文教程的修订。,http://en.wikipedia.org/wiki/GRASS_GIS,Cross-platform,C
GRASS GIS,Geographic_information_system,http://grass.osgeo.org/,GNU_General_Public_License,"GRASS GIS est un logiciel de système d'information géographique (SIG) libre (GPL) de conception modulaire réalisé par le GRASS Development Team. La version stable actuelle est GRASS 6.GRASS existe pour différentes plates-formes et sous différents systèmes d'exploitation à noyau UNIX (Solaris, GNU/Linux, MacOSX etc.).",http://en.wikipedia.org/wiki/GRASS_GIS,Cross-platform,C
GRASS GIS,Geographic_information_system,http://grass.osgeo.org/,GNU_General_Public_License,"GRASS è l'acronimo di Geographic Resources Analysis Support System. GRASS è un Geographical Information System (GIS) software libero, rilasciato sotto la licenza GNU GPL. Esistono versioni per diverse piattaforme.",http://en.wikipedia.org/wiki/GRASS_GIS,Cross-platform,C
GRASS GIS,Geographic_information_system,http://grass.osgeo.org/,GNU_General_Public_License,"GRASS GIS (Geographic Resources Analysis Support System) is a free, open source geographical information system (GIS) capable of handling raster, topological vector, image processing, and graphic data.GRASS is released under the GNU General Public License (GPL), and it can be used on multiple platforms, including Mac OS X, Microsoft Windows and Linux.",http://en.wikipedia.org/wiki/GRASS_GIS,Cross-platform,C
GRASS GIS,Geographic_information_system,http://grass.osgeo.org/,GNU_General_Public_License,"GRASS GIS (Geographic Resources Analysis Support System) – opracowany przez US Army CERL program do tworzenia, analizy i przetwarzania danych geoprzestrzennych, działający w środowisku Uniksa. Jest programem Open Source.",http://en.wikipedia.org/wiki/GRASS_GIS,Cross-platform,C
GRASS GIS,Geographic_information_system,http://grass.osgeo.org/,GNU_General_Public_License,GRASS (acrónimo inglés de Geographic Resources Analysis Support System) es un software SIG (Sistema de Información Geográfica) bajo licencia GPL (software libre). Puede soportar información tanto raster como vectorial y posee herramientas de procesado digital de imágenes.,http://en.wikipedia.org/wiki/GRASS_GIS,Cross-platform,C
GRASS GIS,Geographic_information_system,http://grass.osgeo.org/,GNU_General_Public_License,"Grass (Geographic Resources Analysis Support System) é um software livre de GIS (Sistemas de Informação Geográfica), de fonte aberta.",http://en.wikipedia.org/wiki/GRASS_GIS,Cross-platform,C
GRASS GIS,Geographic_information_system,http://grass.osgeo.org/,GNU_General_Public_License,"GRASS GIS ist eine hybride, modular aufgebaute Geoinformationssystem-Software mit raster- und vektororientierten Funktionen. GRASS steht für Geographic Resources Analysis Support System, GIS für Geographical Information System.Es steht unter der GNU General Public License und ist damit eine frei verfügbare Software.",http://en.wikipedia.org/wiki/GRASS_GIS,Cross-platform,C
